"","business_id","business_name","rating","flavor","environment","service","share","avg_cost","food_style","district","longitude","latitude","free_parking","wifi","delivery","n"
"1",500003,"1221餐馆","4",20,19,20,0,126,"local","长宁区",121.42932,31.211,1,0,0,NA
"2",500017,"贵都牛排屋","4",19,21,20,0,325,"western","静安区",121.44461,31.21998,0,0,0,NA
"3",500018,"华万意","5",25,26,23,613,492,"western","卢湾区",121.47458,31.22143,1,1,1,NA
"4",500028,"阿山饭店","2",17,7,9,0,74,"local","长宁区",121.36705,31.18945,1,0,0,NA
"5",500030,"艾迪多慕思","4.5",21,23,21,346,334,"western","静安区",121.44173,31.21968,1,0,0,NA
"6",500037,"巴国布衣(定西路店)","4",20,20,17,0,97,"sichuan","长宁区",121.4236,31.21121,1,0,0,NA
"7",500046,"白家餐厅","3.5",18,14,17,708,87,"local","徐汇区",121.44326,31.19985,0,0,0,NA
"8",500063,"保罗酒楼","3.5",21,12,12,6425,74,"local","静安区",121.45223,31.21766,1,0,0,NA
"9",500067,"避风塘(古北店)","3.5",20,14,13,70,64,"guangdong","长宁区",121.39396,31.19396,1,1,1,NA
"10",500068,"避风塘(八佰伴店)","3.5",19,13,12,220,66,"guangdong","浦东新区",121.51623,31.228,1,0,0,NA
"11",500069,"避风塘(虹口店)","4",20,13,13,0,64,"guangdong","虹口区",121.48544,31.25037,1,1,1,NA
"12",500071,"避风塘(打浦店)","3.5",20,14,13,119,67,"guangdong","卢湾区",121.47063,31.20529,0,1,1,NA
"13",500087,"香港采蝶轩","4",21,22,18,347,201,"guangdong","卢湾区",121.47465,31.21985,0,0,0,NA
"14",500115,"春餐厅","4",22,11,18,1899,82,"local","卢湾区",121.45965,31.22165,0,0,0,NA
"15",500117,"次郎日式快餐(虹口店)","2",14,13,12,33,27,"japan","虹口区",121.48941,31.26044,0,1,1,NA
"16",500123,"李奥纳多达芬奇餐厅","5",24,26,27,795,541,"western","静安区",121.44522,31.2193,1,1,1,NA
"17",500135,"大江户","4",22,19,18,0,200,"japan","徐汇区",121.45465,31.21623,1,1,1,NA
"18",500137,"大马可意大利餐厅(京华店)","4.5",25,23,20,2993,145,"western","长宁区",121.43534,31.21821,1,1,1,NA
"19",500142,"大渔铁板烧(瑞金店)","3.5",19,15,14,437,147,"japan","卢湾区",121.46385,31.22101,1,0,0,NA
"20",500156,"滴水洞(茂名南路店)","3.5",20,13,14,582,83,"hunan","卢湾区",121.45983,31.22088,0,1,1,NA
"21",500173,"斗牛士(美罗店)","3.5",17,16,17,436,97,"western","徐汇区",121.43964,31.19392,0,1,1,NA
"22",500174,"斗牛士(岳阳店)","4",19,19,18,0,93,"western","徐汇区",121.4522,31.20881,0,1,1,NA
"23",500197,"福记明宴","3",14,16,13,106,128,"guangdong","浦东新区",121.52363,31.22714,1,0,0,NA
"24",500200,"甫熙苑","3",14,15,14,41,104,"south_korea","徐汇区",121.43741,31.19447,0,0,0,NA
"25",500202,"橄榄树地中海餐厅","4",15,18,17,0,180,"western","浦东新区",121.52454,31.23993,1,0,0,NA
"26",500205,"高丽烧烤","3.5",20,11,14,1429,73,"south_korea","徐汇区",121.44574,31.21294,0,0,0,NA
"27",500212,"古意湘味浓(富民路店)","4",21,17,15,0,103,"hunan","静安区",121.45096,31.22024,1,0,0,NA
"28",500215,"广灵阁八仙海鲜城(上南店)","3",15,12,14,0,79,"guangdong","浦东新区",121.51884,31.17428,1,0,0,NA
"29",500224,"海鸥舫","4",16,23,16,0,205,"local","浦东新区",121.49681,31.2406,1,0,0,NA
"30",500238,"好望角大饭店","2",12,15,13,4,76,"local","徐汇区",121.45419,31.20133,0,0,0,NA
"31",500239,"好友汇砂锅","4",19,14,14,0,55,"hotpot","徐汇区",121.46205,31.20254,1,0,0,NA
"32",500241,"和记小菜(东方店)","3.5",19,17,14,575,84,"local","浦东新区",121.52876,31.22144,1,1,1,NA
"33",500243,"和记小菜(莘庄店)","4",20,19,16,194,82,"local","闵行区",121.37631,31.11453,1,0,0,NA
"34",500244,"和记小菜(南丹店)","3.5",19,15,13,1409,81,"local","徐汇区",121.44022,31.18919,1,0,0,NA
"35",500245,"龙凤厅","4",20,26,22,0,407,"local","黄浦区",121.48961,31.23895,1,1,1,NA
"36",500246,"河河亭铁板烧(淮海中路店)","4",25,22,22,0,250,"japan","卢湾区",121.47955,31.2249,1,0,0,NA
"37",500248,"衡园酒家","4",19,13,14,0,70,"local","徐汇区",121.44559,31.20322,1,0,0,NA
"38",500250,"红房子西菜馆","3",16,17,15,996,159,"western","卢湾区",121.46252,31.21837,0,0,0,NA
"39",500256,"红子鸡(澳门路店)","4",18,19,18,0,116,"guangdong","普陀区",121.4451,31.24839,1,0,0,NA
"40",500259,"洪长兴羊肉馆(广西北路店)","4",20,14,13,0,89,"hotpot","黄浦区",121.4776,31.23445,1,0,0,NA
"41",500262,"鸿瑞兴(梅岭店)","4",23,17,15,0,51,"local","普陀区",121.40977,31.23691,1,0,0,NA
"42",500281,"吉范尼斯","4",22,25,24,0,425,"western","长宁区",121.40554,31.20364,1,0,0,NA
"43",500298,"贵都金凤楼中餐厅","3.5",16,20,17,8,344,"local","静安区",121.44461,31.21998,0,1,1,NA
"44",500311,"锦沧文华锦华宫","4",18,24,20,0,128,"guangdong","静安区",121.45329,31.22692,0,0,0,NA
"45",500316,"酒神巴克斯餐厅","4",19,21,20,0,322,"western","徐汇区",121.44373,31.20125,0,0,0,NA
"46",500335,"啦啦啦(港汇店)","2",12,11,10,20,60,"sichuan","徐汇区",121.43741,31.19447,0,0,0,NA
"47",500336,"来福楼火锅","4",21,20,18,0,85,"hotpot","徐汇区",121.44784,31.21052,1,0,0,NA
"48",500349,"上海老饭店","4",21,18,16,0,128,"local","黄浦区",121.49069,31.22766,1,0,0,NA
